province,candidate,votes,winner,district_name,constituency,party,election_year
Sudurpaschim,Gopi Prasad Upadhyaya,8467,False,Kanchanpur,1,NC,2082
Sudurpaschim,Narayan Prakash Saud,10827,False,Kanchanpur,2,NC,2082
Sudurpaschim,Hari Prasad Bohara,9443,False,Kanchanpur,3,NC,2082
Sudurpaschim,Nain Singh Mahar,12121,False,Dadeldhura,1,NC,2082
Sudurpaschim,Chatur Bahadur Chanda,18194,False,Baitadi,1,NC,2082
Sudurpaschim,Dharmanand Joshi,15836,False,Darchula,1,NC,2082
Koshi,Khitiz Thebe,13962,True,Taplejung,1,UML,2082
Koshi,Aindra Sundar Nembang,14534,False,Panchthar,1,UML,2082
Koshi,Kaji Man Kagate,11966,False,Illam,1,UML,2082
Koshi,Suhang Nembang,22426,True,Illam,2,UML,2082
Koshi,Ramchandra Upreti,7659,False,Jhapa,1,UML,2082
Koshi,Dev Raj Ghimire,11368,False,Jhapa,2,UML,2082
Koshi,Hari Bahadur Rajbanshi,7492,False,Jhapa,3,UML,2082
Koshi,Lal Prasad Sawa Limbu,11986,False,Jhapa,4,UML,2082
Koshi,KP Sharma Oli,18734,False,Jhapa,5,UML,2082
Koshi,Ghana Shyam Khatiwada,9823,False,Morang,1,UML,2082
Koshi,Dilip Kumar Agrawal,15624,False,Morang,2,UML,2082
Koshi,Iran Kumar Rai,7752,False,Morang,3,UML,2082
Koshi,Jivan Ghimire,6933,False,Morang,4,UML,2082
Koshi,Manoj Kumar Agrawal,6945,False,Morang,5,UML,2082
Koshi,Binod Prasad Dhakal,8317,False,Morang,6,UML,2082
Koshi,Tika Ram Limbu,6463,False,Sunsari,1,UML,2082
Koshi,Sujan Lama,8303,False,Sunsari,2,UML,2082
Koshi,Bhagwati Chaudhary,15083,False,Sunsari,3,UML,2082
Koshi,Jagdish Prasad Kusiyaith,8631,False,Sunsari,4,UML,2082
Koshi,Rajendra Kumar Rai,18132,True,Dhankuta,1,UML,2082
Koshi,Arjun Kumar Karki,15636,True,Sankhuwasabha,1,UML,2082
Koshi,Sherdhan Rai,14750,False,Bhojpur,1,UML,2082
Koshi,Bhanu Bhakta Dhakal,10682,False,Terhathum,1,UML,2082
Koshi,Asmita Thapa,10720,False,Okhaldhunga,1,UML,2082
Koshi,Dev Bikram Rai,12714,False,Khotang,1,UML,2082
Koshi,Kalpana Rai,8228,False,Solukhumbu,1,UML,2082
Koshi,Durga Kumar Thapa,9206,False,Udayapur,1,UML,2082
Koshi,Ambar Bahadur Raimajhi,7648,False,Udayapur,2,UML,2082
Madhesh,Suman Raj Pyakurel,7652,False,Saptari,1,UML,2082
Madhesh,Mohammad Jiaul Rahman,883,False,Saptari,2,UML,2082
Madhesh,Tarakant Chaudhary,6715,False,Saptari,3,UML,2082
Madhesh,Ganga Prasad Chaudhary,1177,False,Saptari,4,UML,2082
Madhesh,Ram Shankar Yadav,7886,False,Siraha,1,UML,2082
Madhesh,Nabin Kumar Yadav,6713,False,Siraha,2,UML,2082
Madhesh,Lilanath Shrestha,10156,False,Siraha,3,UML,2082
Madhesh,Dharmanath Prasad Sah,4227,False,Siraha,4,UML,2082
Madhesh,Ramchandra Mandal,9220,False,Dhanusha,1,UML,2082
Madhesh,Umashankar Argariya,10153,False,Dhanusha,2,UML,2082
Madhesh,Juli Kumari Mahato (Mahaseth),9786,False,Dhanusha,3,UML,2082
Madhesh,Raghubir Mahaseth,11529,False,Dhanusha,4,UML,2082
Madhesh,Laxmi Mahato Koir,6591,False,Mahottari,1,UML,2082
